readGroup	No_read_group	Not_aligned	MappedLengthOutside[0,500]	Duplicate	ImproperPair	Unmapped	FailedQC	SecondaryAlignment	SupplementaryAlignment
allReadGroups	0	0	0	0	0	0	0	0	0
SR-baku__CpgS0013__plus	0	0	0	0	0	0	0	0	0
SR-evorI__S0013__plus	0	0	0	0	0	0	0	0	0
SR-evorI_L2__S0013__plus	0	0	0	0	0	0	0	0	0
SR-evorII__S0013__plus	0	0	0	0	0	0	0	0	0
SR-mari__S0013__plus	0	0	0	0	0	0	0	0	0
SR-mari_L2__S0013__plus	0	0	0	0	0	0	0	0	0
SR-Mari2__S0013__plus	0	0	0	0	0	0	0	0	0
SR-oriI__S0013__plus	0	0	0	0	0	0	0	0	0
SR-oriI_L2__S0013__plus	0	0	0	0	0	0	0	0	0
SR-oriII__S0013__plus	0	0	0	0	0	0	0	0	0
SR-oriII_L2__S0013__plus	0	0	0	0	0	0	0	0	0
SRC-0-390k_v6.4__S0013__unk	0	0	0	0	0	0	0	0	0
SRC-1-cor3__S0013.aL__plus	0	0	0	0	0	0	0	0	0
SRC-2-cor4__S0013.aL__plus	0	0	0	0	0	0	0	0	0
SRC-3-cor5__S0013.aL__plus	0	0	0	0	0	0	0	0	0
SRC-4-cor__S0013.aL__plus	0	0	0	0	0	0	0	0	0
SRC-5-cor2__S0013.aL__plus	0	0	0	0	0	0	0	0	0
