Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
3196	5450	0.170132	0.2385990023612976	2254	0.068467006	7	8724594	13242350	results/01_atlas/I0048	results/01_atlas/I0013
5053	8326	0.227758	0.33338600397109985	3273	0.105628	7	12461431	18934838	results/01_atlas/I0048	FAM001_ID001
13463	16275	0.4844380021095276	0.5644189715385437	2812	0.07998096942901611	7	28967808	34651747	results/01_atlas/I0048	FAM001_ID001
29394	31486	0.9197930097579956	0.9894099831581116	2092	0.06961697340011597	7	76908199	81772669	results/01_atlas/I0048	FAM001_ID001
35880	38937	1.0919699668884277	1.1729830503463745	3057	0.08101308345794678	7	94565122	103866217	results/01_atlas/I0048	FAM001_ID001
55928	58466	1.6594129800796509	1.819471001625061	2538	0.16005802154541016	7	150960869	156020486	results/01_atlas/I0048	FAM001_ID001
153	2399	0.018304	0.13444499671459198	2246	0.116141	7	1158776	7438529	results/01_atlas/I0013	FAM001_ID001
2864	4582	0.15069499611854553	0.21673400700092316	1718	0.06603901088237762	7	8166023	11621157	results/01_atlas/I0013	FAM001_ID001
4869	7561	0.22520999610424042	0.3125700056552887	2692	0.08736000955104828	7	12122967	17275340	results/01_atlas/I0013	FAM001_ID001
28330	31375	0.8589670062065125	0.9861239790916443	3045	0.12715697288513184	7	70828554	81486651	results/01_atlas/I0013	FAM001_ID001
57292	58371	1.74800705909729	1.815878987312317	1079	0.06787192821502686	7	154090156	155899308	results/01_atlas/I0013	FAM001_ID001
