Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
4194	5294	0.235225	0.2984040081501007	1100	0.063179	1	11032639	14334758	results/01_atlas/I0048	results/01_atlas/I0013
46856	47348	1.5028610229492188	1.5758440494537354	492	0.0729830265045166	1	120355513	147208401	results/01_atlas/I0048	results/01_atlas/I0013
38	1660	0.028999	0.1179729998111724	1622	0.088974	1	1121794	5000086	results/01_atlas/I0048	FAM001_ID001
1921	5339	0.1316010057926178	0.2988969981670379	3418	0.1672959923744201	1	5362345	14372163	results/01_atlas/I0048	FAM001_ID001
10747	12979	0.5156760215759277	0.5840910077095032	2232	0.0684149861335754	1	26531256	33525665	results/01_atlas/I0048	FAM001_ID001
23053	24947	0.8602659702301025	0.9247300028800964	1894	0.0644640326499939	1	59110167	63458074	results/01_atlas/I0048	FAM001_ID001
46650	48548	1.4966299533843994	1.6327580213546753	1898	0.1361280679702758	1	119914137	153143048	results/01_atlas/I0048	FAM001_ID001
82293	83879	2.5493040084838867	2.632411003112793	1586	0.0831069946289062	1	234501283	237612398	results/01_atlas/I0048	FAM001_ID001
86392	88074	2.7443830966949463	2.8307950496673584	1682	0.0864119529724121	1	242545880	246159525	results/01_atlas/I0048	FAM001_ID001
1321	5741	0.108981	0.3139750063419342	4420	0.20499401	1	4558933	15059653	results/01_atlas/I0013	FAM001_ID001
5960	7394	0.3284339904785156	0.394472986459732	1434	0.0660389959812164	1	15376091	18699444	results/01_atlas/I0013	FAM001_ID001
13280	14972	0.5943019986152649	0.6545259952545166	1692	0.0602239966392517	1	34247896	38466697	results/01_atlas/I0013	FAM001_ID001
33949	36046	1.1454880237579346	1.2088600397109983	2097	0.0633720159530639	1	86263583	91867046	results/01_atlas/I0013	FAM001_ID001
45476	47030	1.4711860418319702	1.550034999847412	1554	0.0788489580154419	1	117032783	145745492	results/01_atlas/I0013	FAM001_ID001
49479	52388	1.6623070240020752	1.750525951385498	2909	0.0882189273834228	1	156347131	162319329	results/01_atlas/I0013	FAM001_ID001
81696	83118	2.527399063110352	2.592669010162353	1422	0.0652699470520019	1	233512362	236296360	results/01_atlas/I0013	FAM001_ID001
86699	88065	2.7589800357818604	2.830709934234619	1366	0.0717298984527587	1	243141099	246142744	results/01_atlas/I0013	FAM001_ID001
129	4086	0.005751	0.2062849998474121	3957	0.200534	2	405938	7962780	results/01_atlas/I0048	FAM001_ID001
50408	52584	1.4527419805526731	1.530271053314209	2176	0.0775290727615356	2	127503457	133988163	results/01_atlas/I0048	FAM001_ID001
79804	82955	2.1858229637146	2.276045083999634	3151	0.0902221202850341	2	211914804	218729865	results/01_atlas/I0048	FAM001_ID001
88702	91924	2.4607489109039307	2.5903279781341557	3222	0.1295790672302246	2	231725311	238209382	results/01_atlas/I0048	FAM001_ID001
399	6355	0.010922	0.3202919960021972	5956	0.30936998	2	843960	12293125	results/01_atlas/I0013	FAM001_ID001
16115	18712	0.5972219705581665	0.6618670225143433	2597	0.0646450519561767	2	34821990	40336210	results/01_atlas/I0013	FAM001_ID001
43587	45038	1.2683000564575195	1.329067945480347	1451	0.0607678890228271	2	108157513	113569345	results/01_atlas/I0013	FAM001_ID001
61291	64614	1.7221070528030396	1.7906310558319092	3323	0.0685240030288696	2	157598678	167032371	results/01_atlas/I0013	FAM001_ID001
65866	68436	1.8216840028762815	1.911674976348877	2570	0.0899909734725952	2	169997051	176717741	results/01_atlas/I0013	FAM001_ID001
75090	77948	2.0706350803375244	2.1382460594177246	2858	0.0676109790802002	2	198080380	206657916	results/01_atlas/I0013	FAM001_ID001
85358	87453	2.357628107070923	2.4217309951782227	2095	0.0641028881072998	2	224204238	228968345	results/01_atlas/I0013	FAM001_ID001
4977	6573	0.203644	0.2677139937877655	1596	0.06406999	3	8158122	11037713	results/01_atlas/I0048	FAM001_ID001
6815	8718	0.2777070105075836	0.3395079970359802	1903	0.0618009865283966	3	11627016	15309925	results/01_atlas/I0048	FAM001_ID001
33485	35242	0.9806990027427672	1.0466949939727783	1757	0.0659959912300109	3	72585498	77318899	results/01_atlas/I0048	FAM001_ID001
56075	59834	1.4910379648208618	1.606896996498108	3759	0.1158590316772461	3	139739779	149324704	results/01_atlas/I0048	FAM001_ID001
4447	6373	0.187353	0.261011004447937	1926	0.073658004	3	7292607	10698941	results/01_atlas/I0013	FAM001_ID001
25868	31085	0.7491490244865417	0.9020640254020692	5217	0.1529150009155273	3	58558769	67455458	results/01_atlas/I0013	FAM001_ID001
60287	62767	1.619981050491333	1.6819360256195068	2480	0.0619549751281738	3	150531601	157310675	results/01_atlas/I0013	FAM001_ID001
66674	69193	1.7520760297775269	1.854145050048828	2519	0.1020690202713012	3	169371934	175670278	results/01_atlas/I0013	FAM001_ID001
